,V1,V4,V7,V10,V13,V16,V19,V22,V25,V28,V31,V34,V37,V40,V43,V46,V49
80,7853726.39738169,451013656.586752,9976808.18346029,18644320.2709864,35857784.9733966,491787919.551461,24080671.1121062,12017753.4615335,14513356.9925167,8815958.09556884,48871259.4105878,7377098.3692802,14081819.0074569,57758157.570162,8137676.15344689,4993013.60171132,16297784.8979515
81,13614494.2547751,246481985.805416,212539945.066685,122173017.362581,89085577.7722864,34268962.2107402,12482194.4519259,13070433.0779182,29136087.6701615,61115053.9276778,129053180.187164,11001638.0874142,74034674.5796424,11277950.7799725,412871603.114264,18329713.396867,88551343.3687325
82,128511175.183225,89548494.6609124,15128190.6930885,167635098.451253,336620918.096977,38872931.4297484,300235747.01821,58396413.7907478,84858479.0996644,46753213.8621952,84259115.9050408,21274808.9868999,48794629.6255446,36895554.462406,193682099.874035,19259950.3432507,55945021.1596046
83,29785589.4622582,134955611.082866,148264990.568963,489547503.452881,79619616.06894,36970180.2041213,15810770.1404093,136724295.786617,11994708.0819475,74348590.6429634,145314955.874169,21246310.8997542,62934005.8702805,15063435.8619608,434546236.033605,8430956.5374329,57226091.9120374
84,460165563.572642,473933541.326467,13827422.9619798,422349169.741624,445590061.293336,443303588.781503,423892899.146666,493007489.583344,99961950.2194262,17883668.3626994,63775308.1003939,155493282.762531,102581803.794614,11416766.2602406,367138720.454894,111153356.823651,100141079.296397
85,20580524.0585524,423260421.610413,313523241.297784,66246458.8843403,389916303.118721,503162710.467404,422799568.812892,444467588.027789,37149268.364559,118098914.992091,418269713.584019,81380533.8950744,1022107577.53318,33750302.8509709,199745388.483167,64273327.8561022,651305859.602634
86,189193945.256891,103170360.422323,64135030.2509743,118128879.910403,280052962.429179,173900360.539626,68748562.5917091,203600024.263467,153824709.15707,94531334.2456015,204615136.515047,127020875.68392,377557453.171793,249177706.232603,397619563.382805,86870305.1796119,195310703.619573
87,90065259.3545631,22245210.7233322,42453476.5447856,153580607.7715,154645690.663408,16709710.4495275,58155931.9510612,16198188.9282449,180350276.858003,197827165.246385,566404725.130482,299111416.922842,157865104.056215,74288070.3213276,300017993.788566,329416699.960311,187131601.412382
88,302895742.341618,475694429.969626,567225004.479136,375609195.028727,297244619.267754,493705868.51584,482130257.221507,456396946.409841,315906640.816908,288231913.411382,466247314.330391,321137485.873346,318301943.752342,363005541.455278,425012313.009232,350851843.469603,365565034.775642
89,15511572576.747,15242353026.9498,11105719213.1285,11615875604.7489,10034991053.9737,14451299367.0774,11297191888.8914,10211488394.019,13821072414.2307,12832849700.3858,11156189304.1546,60491816561.6824,17190025052.9184,15556292536.1598,63394988243.5198,11808405988.4204,15088489873.8902
90,7703620.06441827,439796145.149753,80348919.6924004,28124105.130888,99180756.3796543,28634153.5409945,32213718.8968272,63267357.2092066,39493722.1848211,10226520.6880665,437476207.812354,222828288.3739,190905419.429666,30163874.7121007,136527650.352946,64166773.7897466,126251743.678706
91,232044087.398727,32366484.3815714,37790427.9949954,428596546.383529,463078371.548653,35976987.3519093,38447574.398718,36486765.2301935,61218652.42017,495535188.452036,27941735.4720847,27701521.6517453,201277116.319899,16704405.5456613,449131740.505954,337846258.167958,346362903.916275
92,489593578.721338,441465006.899024,499394498.537775,443006660.37901,480277893.621407,519534444.446401,484880344.159415,493045282.930405,494986970.194823,308051395.163477,500259806.402922,508666625.05625,205727872.565518,239183271.173409,491060042.524665,607009110.244343,254908492.023354
93,466840389.582427,423163578.102112,424372339.549628,473225509.06173,445076636.014614,435527554.624393,448572929.963218,464309691.396409,122350208.403213,151195753.255098,496955289.015851,162811301.158944,363786620.863026,365334684.715317,380825357.966192,47447967.7063894,372848970.329137
